approved_symbol,alias,identifier_location,paper_count,PMIDs
ENG,ENG,paragraph,26,"18673552, 26176610, 27260700, 27876060, 28231770, 28588815, 29243366, 29932521, 30728427, 31400083, 32962750, 33058509, 33834622, 34336026, 35792874, 35902510, 36292575, 36551963, 36817313, 38294582, 38540362, 39036057, 40133303, 40562378, 40564170, 41162588"
ENG,ENG,table,3,"33195419, 35774506, 36114567"
FBN1,FBN1,abstract,1,34540975
FBN1,FBN1,fig_caption,2,"37208356, 38269088"
FBN1,FBN1,paragraph,67,"20886638, 21152435, 22479353, 23951402, 24703491, 24940034, 24940037, 25053872, 25205403, 25729264, 26040324, 26875674, 27138491, 27175573, 27307692, 27386756, 28050602, 28708846, 29039457, 29156830, 29802153, 30485715, 31245936, 31350823, 31774634, 31950671, 32155956, 32431097, 32555417, 32730690, 33256748, 33578525, 33949154, 34010604, 34071740, 34169650, 34236823, 34281165, 34498425, 34946863, 34957211, 35008861, 35128805, 35151321, 35200700, 35496767, 36118886, 36292064, 36380655, 36385762, 36855133, 36966180, 37877128, 38234087, 38776926, 38791509, 38958168, 39026936, 39669619, 40118890, 40176791, 40481143, 40628270, 40672385, 41298911, 41443197, 42442366"
FBN1,FBN1,ref,2,"34344904, 37684520"
FBN1,FBN1,table,10,"21360310, 21569303, 23259760, 27175573, 30318729, 32595417, 35877578, 36832881, 36833272, 37208356"
FBN1,FBN1,title_3,1,40080703
FLNC,FLNC,paragraph,6,"25781923, 27048506, 28031525, 36204818, 38397924, 40286359"
FLNC,FLNC,table,4,"18369433, 22590687, 25938587, 37373632"
GAA,GAA,paragraph,35,"22616199, 22676651, 23787031, 23825616, 24150945, 24245577, 24383498, 25103075, 25350581, 25943437, 26809617, 27896132, 28265479, 28629821, 29124014, 29415500, 30532252, 30564623, 31342611, 32126021, 33426149, 33554498, 33977031, 35532199, 36007526, 36517654, 37085544, 37239314, 38162137, 38524130, 39243181, 39669627, 39905333, 40088892, 40286359"
GAA,GAA,table,3,"33567613, 36114567, 39243181"
GAA,GAA,title_3,1,32316520
GLA,GLA,paragraph,15,"33766936, 34542871, 34927718, 34959703, 35236382, 35722479, 35782605, 36499585, 36833443, 36995061, 37593415, 37607539, 37761944, 37865771, 40585426"
HFE,HFE,fig_caption,1,30820268
HFE,HFE,paragraph,18,"23750121, 26365338, 26799452, 29518107, 29750258, 30514216, 30820268, 31589614, 33016646, 33457423, 33667394, 34495297, 35005651, 35047832, 37870835, 39669627, 40034140, 40088892"
HFE,HFE,ref,1,39400561
HFE,HFE,table,1,38540416
HNF1A,HNF1A,abstract,1,31219249
HNF1A,HNF1A,paragraph,14,"21062467, 25569436, 27142837, 28116330, 30476138, 30487145, 32821921, 32910913, 35246208, 36257325, 37396188, 37492105, 38790019, 41435840"
HNF1A,HNF1A,table,2,"29909963, 30476138"
HNF1A,HNF1A,table_footnote,1,35592779
KCNH2,KCNH2,abstract,1,31347270
KCNH2,KCNH2,fig_caption,1,35600076
KCNH2,KCNH2,paragraph,16,"25606385, 27110552, 27485560, 29180482, 32386560, 32441199, 32714589, 34357002, 34582124, 36204818, 36269083, 36792990, 39595119, 39669639, 40088892, 41299264"
KCNH2,KCNH2,table,9,"21357607, 23396983, 32423033, 34582124, 34722422, 35373735, 35875838, 36012532, 38030236"
KCNQ1,KCNQ1,paragraph,22,"20353914, 21347123, 23071618, 23845108, 25663387, 27485560, 28944242, 29097701, 29703730, 30245029, 30635621, 34398675, 34440456, 34495297, 34604815, 35544069, 35804856, 36204818, 36269083, 38776926, 39100276, 41299264"
KCNQ1,KCNQ1,table,11,"20809527, 30165855, 32096762, 33080834, 33095155, 34722422, 35117387, 35875838, 36012532, 37187702, 37707495"
LDLR,LDLR,paragraph,12,"34297352, 35774363, 36196022, 36769678, 37511194, 37568561, 38172096, 38433605, 38514665, 39600113, 40264801, 40769381"
LDLR,LDLR,table,2,"33747976, 41603583"
LMNA,LMNA,abstract,2,"35801028, 36389384"
LMNA,LMNA,paragraph,54,"12854972, 16261260, 17352814, 19220582, 19562370, 22830024, 23029315, 23090008, 23804595, 26098624, 27504462, 28547000, 28663758, 29047356, 29703891, 30177912, 30319454, 30402260, 30564623, 30827497, 30891408, 31453089, 32055997, 32066935, 32154989, 32529721, 32571898, 33743207, 33923914, 34440456, 34495297, 34768595, 34827576, 35097194, 35544069, 35621010, 35801028, 36362411, 36389384, 36568030, 36752614, 36897110, 37652022, 37808683, 38473809, 38539233, 38892025, 39125589, 39669119, 40286359, 40409267, 40628270, 40641299, 41443197"
LMNA,LMNA,ref,1,39979866
LMNA,LMNA,table,7,"23396983, 25428262, 27841901, 31413301, 35941691, 37373632, 38610600"
LMNA,LMNA,title_3,1,40080703
MAX,MAX,paragraph,2,"38038882, 38141607"
MEN1,MEN1,fig_caption,1,35388217
MEN1,MEN1,paragraph,11,"22584699, 26191410, 26307114, 27366707, 30428914, 32715272, 35668420, 36598212, 36842074, 37895483, 38038882"
MEN1,MEN1,ref,1,34711244
MEN1,MEN1,table,6,"26424171, 28186096, 35402764, 35406801, 39447548, 41723447"
MLH1,MLH1,paragraph,62,"16995940, 17378937, 19389263, 19995443, 20233466, 20487569, 21120944, 22136435, 22976800, 23637804, 23760103, 24090359, 24307375, 24344984, 24689082, 25077178, 25871441, 26436109, 26465663, 26727311, 27606285, 28230923, 28944238, 29664240, 29909963, 30075112, 30441849, 30724488, 30827058, 30916491, 31297992, 31347304, 31642931, 31867841, 31889830, 31942411, 32243098, 32821921, 33058565, 33118316, 33401422, 34178123, 34250511, 35608067, 36454741, 36551963, 36624813, 36875157, 37378315, 37919876, 38734904, 38749429, 38776926, 38843250, 39357517, 39420201, 39436407, 39748562, 39804645, 39902189, 40073867, 41443196"
MLH1,MLH1,ref,1,34711244
MLH1,MLH1,table,10,"22788692, 24612714, 28704968, 29909963, 30558318, 31285644, 33374749, 33574476, 35406801, 40447568"
MLH1,MLH1,table_foot,3,"24344984, 33649982, 38355628"
MSH2,MSH2,paragraph,29,"33357406, 33401422, 33630025, 34178123, 34250511, 34251444, 35368899, 35451539, 35608067, 36011265, 36368329, 36454741, 36551963, 36624813, 36875157, 37378315, 38488796, 38749429, 38776926, 38843250, 39420201, 39436407, 39548353, 39748562, 39804645, 39902189, 39981113, 40073867, 41443196"
MSH2,MSH2,table,2,"33574476, 35406801"
MSH2,MSH2,table_foot,2,"33649982, 38355628"
MSH6,MSH6,abstract,1,30152102
MSH6,MSH6,fig_caption,1,31642931
MSH6,MSH6,paragraph,59,"17378937, 19389263, 19466295, 20487569, 21120944, 23637804, 24090359, 24259277, 24307375, 24344984, 24689082, 25077178, 25762362, 25871441, 26436109, 27468419, 27606285, 28944238, 29290338, 29664240, 30318729, 30441849, 30724488, 30946512, 31104363, 31297992, 31347304, 31642931, 31889830, 31942411, 32869517, 32959997, 33118316, 33119106, 33401422, 34178123, 35451539, 35460607, 35608067, 35885614, 36011265, 36454741, 36551963, 36624813, 36875157, 37378315, 37919876, 38734904, 38749429, 38843250, 39126233, 39357517, 39420201, 39436407, 39548353, 39748562, 39804645, 40073867, 41443196"
MSH6,MSH6,table,7,"22788692, 24612714, 30318729, 31285644, 33574476, 35406801, 38254688"
MSH6,MSH6,table_foot,2,"33649982, 38355628"
MUTYH,MUTYH,abstract,1,24834277
MUTYH,MUTYH,paragraph,36,"12614485, 20848659, 23202958, 23936466, 24799981, 25604157, 25820570, 26528356, 28944238, 29664240, 29909963, 30487145, 30724488, 30827058, 31589614, 31642931, 31908716, 32821650, 32959997, 33118316, 33343895, 34704405, 34716202, 35512711, 35608067, 36551963, 37096204, 37462969, 39357517, 39669627, 39804645, 39902189, 39907309, 40088892, 40269770, 41327405"
MUTYH,MUTYH,table,6,"22788692, 29909963, 33574476, 39447548, 39669589, 40269770"
MUTYH,MUTYH,table_foot,1,33649982
MYBPC3,MYBPC3,paragraph,13,"23940833, 31397097, 31589614, 34611884, 34708937, 35463789, 37652022, 38473809, 39480004, 39884281, 40115818, 40286359, 40565972"
MYBPC3,MYBPC3,table,12,"23396983, 24938736, 26937396, 27841901, 28797094, 30619483, 32423033, 34774109, 35875838, 37373632, 39669589, 40079339"
MYH11,MYH11,paragraph,9,"34498425, 35087827, 35207515, 35806909, 37523181, 38053544, 38185688, 38234087, 40534548"
MYH11,MYH11,table,4,"36187094, 36869404, 38334628, 38540416"
MYH7,MYH7,abstract,1,40709199
MYH7,MYH7,fig_caption,1,32315303
MYH7,MYH7,paragraph,39,"18159245, 20554658, 23800289, 23940833, 25829468, 26815362, 28547000, 30665703, 31397097, 31489928, 32013205, 32092825, 32309617, 32492895, 32627857, 32960281, 33240318, 34495297, 35200700, 35463789, 35544069, 36204818, 36292635, 36578772, 37498360, 37635785, 37652022, 37663545, 38006208, 38057384, 38473809, 38539233, 39480004, 39595119, 40565972, 40628270, 40709199, 41295372, 41440879"
MYH7,MYH7,table,14,"23396983, 24938736, 25938587, 27841901, 28797094, 32392228, 32423033, 33881176, 34722422, 34774109, 35767336, 35877578, 39669589, 40079339"
MYL2,MYL2,paragraph,6,"32492895, 37652022, 39480004, 39669627, 40286359, 40565972"
MYL2,MYL2,ref,1,32453731
MYL2,MYL2,table,4,"23396983, 27841901, 28797094, 34722422"
MYL3,MYL3,paragraph,6,"32492895, 36053243, 36204818, 37652022, 40286359, 40565972"
MYL3,MYL3,table,5,"23396983, 27841901, 28797094, 35767336, 38957810"
NF2,NF2,fig_caption,1,38482423
NF2,NF2,paragraph,13,"26066488, 27958595, 32144278, 33445724, 35191116, 35391499, 36077416, 37217995, 37908896, 38776926, 38983105, 40188079, 40562378"
NF2,NF2,table,4,"24612714, 29909963, 31781123, 33574476"
OTC,OTC,fig_caption,2,"25420641, 33484963"
OTC,OTC,paragraph,18,"23926375, 25032985, 31589614, 32410394, 33272297, 33530582, 34708937, 35211578, 35605046, 36620386, 36620388, 36620389, 37520683, 37593415, 39000307, 39403401, 40206416, 40809628"
OTC,OTC,table,3,"23492669, 36776327, 41402828"
PALB2,PALB2,abstract,2,"34382369, 38476606"
PALB2,PALB2,paragraph,59,"20122277, 23448497, 24206657, 26111702, 26436109, 26740942, 28279176, 28944238, 29909963, 30075112, 30410870, 30441849, 30584990, 30665703, 30947698, 31125106, 31191615, 31580391, 31642931, 31782247, 32609350, 32853479, 32959997, 33119106, 33333735, 33401422, 33403820, 33630087, 34317694, 34635660, 34846068, 35047862, 35054852, 35146455, 35456488, 35493704, 35608067, 36139699, 36206742, 36827971, 37188824, 37646013, 38334999, 38353949, 38476606, 38482676, 38854136, 39317201, 39669609, 39669627, 39804645, 39854808, 39902189, 39907309, 40073867, 40628270, 40967221, 41230741, 41554690"
PALB2,PALB2,table,5,"24612714, 29909963, 32903519, 33574476, 35406801"
PALB2,PALB2,table_foot,2,"33649982, 38355628"
PCSK9,PCSK9,fig_caption,1,38015445
PCSK9,PCSK9,paragraph,49,"17971861, 18704161, 21232153, 21235735, 21513517, 23329883, 24396277, 25053660, 26374825, 26493351, 26608663, 26744084, 27152866, 27830735, 27853278, 29036232, 29188294, 30209390, 30294546, 30592178, 31427613, 31509211, 32049305, 32846800, 33157955, 33391333, 33519890, 34297352, 35083881, 35294538, 35323704, 35692035, 35774363, 35904732, 35912641, 36226792, 36595504, 36769678, 37108800, 37568561, 38514665, 39580580, 39600113, 39628814, 40088892, 40286359, 40780050, 41169049, 41376171"
PCSK9,PCSK9,table,6,"30568916, 32983230, 35571066, 36832881, 39449064, 39669589"
PKP2,PKP2,fig_caption,1,35388217
PKP2,PKP2,paragraph,8,"30985088, 33743207, 33784018, 36269083, 37523181, 39669619, 40136534, 40359643"
PKP2,PKP2,ref,1,29961461
PKP2,PKP2,table,4,"23396983, 25938587, 36805767, 38610600"
PMS2,PMS2,paragraph,57,"19389263, 19466295, 20487569, 21120944, 23637804, 24259277, 24689082, 25077178, 25762362, 25871441, 26436109, 27606285, 28106320, 28717660, 28944238, 29664240, 29909963, 30441849, 30724488, 30946512, 31104363, 31297992, 31347304, 31642931, 31889830, 31942411, 32959997, 33118316, 33401422, 34178123, 34250511, 35451539, 35608067, 36011265, 36454741, 36551963, 36612224, 36624813, 36644715, 36875157, 37378315, 37919876, 38734904, 38749429, 38776926, 38843250, 39126233, 39357517, 39420201, 39436407, 39548353, 39669620, 39748562, 39804645, 40073867, 40911248, 41443196"
PMS2,PMS2,table,6,"22788692, 26331722, 29909963, 31285644, 33574476, 35406801"
PMS2,PMS2,table_foot,2,"33649982, 38355628"
PRKAG2,PRKAG2,abstract,2,"31347270, 36556501"
PRKAG2,PRKAG2,paragraph,9,"25606385, 30559760, 32529721, 34582124, 36204818, 36221081, 37239976, 40409267, 40642269"
PRKAG2,PRKAG2,table,4,"24938736, 26150313, 27841901, 28797094"
PTEN,PTEN,paragraph,18,"32055008, 33917282, 34078911, 34088332, 34268892, 35241692, 35321655, 35608067, 36293054, 36551963, 37216009, 37534462, 38585419, 39669237, 39692895, 39804645, 41480035, 41646357"
PTEN,PTEN,table,3,"34430807, 37035742, 39447548"
RB1,RB1,abstract,1,39108315
RB1,RB1,paragraph,41,"23170979, 23593011, 24791139, 25839328, 25999678, 26347357, 26539030, 27582626, 28193182, 28210099, 28265786, 28706438, 29568217, 29909963, 30729744, 30996590, 31162827, 31207142, 31867841, 31997559, 32218800, 32821921, 32974172, 33053768, 33090227, 33112397, 33456302, 33846376, 33917282, 34491624, 35073341, 35512711, 35960463, 36274817, 36453028, 37548407, 37682130, 37808736, 38776926, 40259075, 40442321"
RB1,RB1,table,13,"20696054, 24206787, 29257106, 29909963, 30637191, 31160616, 32438606, 35406801, 36062157, 38635644, 38859961, 38906881, 39349844"
RBM20,RBM20,paragraph,6,"22830024, 30487145, 33671899, 37652022, 38473809, 39669627"
RBM20,RBM20,table,2,"23396983, 26015769"
RET,RET,abstract,1,35621010
RET,RET,paragraph,16,"33827484, 33859509, 33917282, 34121091, 34360895, 34981673, 35621010, 35668420, 36598212, 37252050, 37435466, 37484916, 38038882, 38100106, 39671698, 41000626"
RET,RET,ref,1,35984852
RPE65,RPE65,abstract,2,"25383945, 32014860"
RPE65,RPE65,fig_caption,1,18541026
RPE65,RPE65,paragraph,42,"18541026, 20683928, 23865674, 24705292, 24715752, 25383945, 25489226, 25814828, 27212874, 27307693, 27307694, 27440997, 27733811, 28356702, 28966547, 29062221, 29681726, 30090012, 30416333, 30820146, 31273949, 31700227, 31844802, 32014860, 32165824, 33712480, 33851411, 33928237, 34158306, 34830511, 35098484, 35226187, 35229008, 36225124, 36429068, 37240262, 37267051, 37547722, 38610844, 39669627, 39835736, 40088892"
RPE65,RPE65,table,3,"20428338, 24265543, 32642521"
RYR1,RYR1,abstract,2,"28547000, 34528764"
RYR1,RYR1,fig_caption,1,31450509
RYR1,RYR1,paragraph,39,"19956802, 20443062, 20482855, 23476141, 23800289, 23826317, 23894383, 25929793, 26247046, 26578207, 26932181, 27858745, 28361098, 28547000, 28771594, 29930394, 30827497, 30968598, 31165076, 31384166, 32681036, 33458582, 33767344, 34257294, 34528764, 34733861, 34970863, 35627144, 35693006, 35763354, 36007526, 36360333, 38318125, 38975553, 39999070, 40193652, 40662098, 41000626, 41175864"
RYR1,RYR1,table,6,"24213376, 29096039, 29459480, 30679815, 33881176, 39669589"
RYR2,RYR2,paragraph,18,"23829686, 24978818, 25356899, 25937445, 29037160, 31482657, 32536973, 33224097, 34393635, 34495297, 34760628, 34930847, 35207515, 36269083, 36864708, 36865150, 37109540, 39595119"
RYR2,RYR2,table,7,"23396983, 28426742, 34722422, 35877578, 36012532, 36090591, 37109540"
SCN5A,SCN5A,abstract,1,38464806
SCN5A,SCN5A,fig_caption,1,35388217
SCN5A,SCN5A,fig_title_caption,1,35388217
